Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,United Kingdom,,Belfast,Apr,1,2012,47
Europe,United Kingdom,,Belfast,May,1,2012,50.4
Europe,United Kingdom,,Belfast,Jun,1,2012,59.4
Europe,United Kingdom,,Belfast,Jul,1,2012,57.1
Europe,United Kingdom,,Belfast,Aug,1,2012,61.4
Europe,United Kingdom,,Belfast,Sep,1,2012,-99
Europe,United Kingdom,,Belfast,Oct,1,2012,52.1
Europe,United Kingdom,,Belfast,Nov,1,2012,41.2
Europe,United Kingdom,,Belfast,Dec,1,2012,40.2
Europe,United Kingdom,,Belfast,Jan,1,2013,40.9
Europe,United Kingdom,,Belfast,Feb,1,2013,40.5
Europe,United Kingdom,,Belfast,Mar,2,2013,44.7
Europe,United Kingdom,,Belfast,Apr,2,2013,40.7
Europe,United Kingdom,,Belfast,May,2,2013,51.1
Europe,United Kingdom,,Belfast,Jun,2,2013,55.5
Europe,United Kingdom,,Belfast,Jul,2,2013,56.4
Europe,United Kingdom,,Belfast,Aug,2,2013,65.9
Europe,United Kingdom,,Belfast,Sep,2,2013,67.1
Europe,United Kingdom,,Belfast,Oct,2,2013,58
Europe,United Kingdom,,Belfast,Nov,2,2013,46.9
Europe,United Kingdom,,Belfast,Dec,2,2013,46.5
Europe,United Kingdom,,Belfast,Jan,1,2014,42.5
Europe,United Kingdom,,Belfast,Feb,1,2014,43.5
Europe,United Kingdom,,Belfast,Mar,1,2014,41.7
Europe,United Kingdom,,Belfast,Apr,1,2014,50.1
Europe,United Kingdom,,Belfast,May,1,2014,49.2
Europe,United Kingdom,,Belfast,Jun,1,2014,59.4
Europe,United Kingdom,,Belfast,Jul,1,2014,64.8
Europe,United Kingdom,,Belfast,Aug,1,2014,61.4
Europe,United Kingdom,,Belfast,Sep,1,2014,60.5
Europe,United Kingdom,,Belfast,Oct,1,2014,57.4
Europe,United Kingdom,,Belfast,Nov,1,2014,53.5
Europe,United Kingdom,,Belfast,Dec,1,2014,46.1
Europe,United Kingdom,,Belfast,Jan,1,2015,53.4
Europe,United Kingdom,,Belfast,Feb,1,2015,36.8
Europe,United Kingdom,,Belfast,Mar,2,2015,37.1
Europe,United Kingdom,,Belfast,Apr,2,2015,42.9
Europe,United Kingdom,,Belfast,May,2,2015,43.6
Europe,United Kingdom,,Belfast,Jun,2,2015,51.5
Europe,United Kingdom,,Belfast,Jul,2,2015,65.3
Europe,United Kingdom,,Belfast,Aug,2,2015,58.4
Europe,United Kingdom,,Belfast,Sep,2,2015,54
Europe,United Kingdom,,Belfast,Oct,2,2015,51.4
Europe,United Kingdom,,Belfast,Nov,2,2015,54.6
Europe,United Kingdom,,Belfast,Dec,2,2015,48.5
Europe,United Kingdom,,Belfast,Jan,1,2016,40.8
Europe,United Kingdom,,Belfast,Feb,1,2016,48
Europe,United Kingdom,,Belfast,Mar,29,2016,41.2
Europe,United Kingdom,,Belfast,Apr,31,2016,45.2
Europe,United Kingdom,,Belfast,May,30,2016,47
Europe,United Kingdom,,Belfast,Jun,31,2016,61.4
Europe,United Kingdom,,Belfast,Jul,30,2016,56.3
Europe,United Kingdom,,Belfast,Aug,31,2016,59.7
Europe,United Kingdom,,Belfast,Sep,31,2016,60.8
Europe,United Kingdom,,Belfast,Oct,30,2016,52.8
Europe,United Kingdom,,Belfast,Nov,10,2016,52.4
Europe,United Kingdom,,Belfast,Dec,30,2016,44.6
Europe,United Kingdom,,Belfast,Jan,31,2016,49.8
Europe,United Kingdom,,Belfast,Feb,31,2017,48.6
Europe,United Kingdom,,Belfast,Mar,1,2017,41.1
Europe,United Kingdom,,Belfast,Apr,1,2017,49.4
Europe,United Kingdom,,Belfast,May,1,2017,55.8
Europe,United Kingdom,,Belfast,Jun,1,2017,57.2
Europe,United Kingdom,,Belfast,Jul,1,2017,58.2
Europe,United Kingdom,,Belfast,Aug,1,2017,59.5
Europe,United Kingdom,,Belfast,Sep,1,2017,57
Europe,United Kingdom,,Belfast,Oct,1,2017,57.6
Europe,United Kingdom,,Belfast,Nov,1,2017,52.9
Europe,United Kingdom,,Belfast,Dec,1,2017,39.6
Europe,United Kingdom,,Belfast,Jan,1,2018,41.3
Europe,United Kingdom,,Belfast,Feb,1,2018,40.6
Europe,United Kingdom,,Belfast,Mar,1,2018,29.9
Europe,United Kingdom,,Belfast,Apr,1,2018,40.2
Europe,United Kingdom,,Belfast,May,1,2018,46.8
Europe,United Kingdom,,Belfast,Jun,1,2018,62.3
Europe,United Kingdom,,Belfast,Jul,1,2018,63.6
Europe,United Kingdom,,Belfast,Aug,1,2018,60
Europe,United Kingdom,,Belfast,Sep,1,2018,62.7
Europe,United Kingdom,,Belfast,Oct,1,2018,50.9
Europe,United Kingdom,,Belfast,Nov,1,2018,40.2
Europe,United Kingdom,,Belfast,Dec,1,2018,43.6
Europe,United Kingdom,,Belfast,Jan,1,2019,46
Europe,United Kingdom,,Belfast,Feb,1,2019,36.4
Europe,United Kingdom,,Belfast,Mar,2,2019,47
Europe,United Kingdom,,Belfast,Apr,2,2019,40.7
Europe,United Kingdom,,Belfast,May,2,2019,52.2
Europe,United Kingdom,,Belfast,Jun,2,2019,58.8
Europe,United Kingdom,,Belfast,Jul,2,2019,57.6
Europe,United Kingdom,,Belfast,Aug,2,2019,63.2
Europe,United Kingdom,,Belfast,Sep,2,2019,56
Europe,United Kingdom,,Belfast,Oct,2,2019,48
Europe,United Kingdom,,Belfast,Nov,2,2019,48.5
Europe,United Kingdom,,Belfast,Dec,2,2019,40.8
